交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-02 20:01:34.962833,,100053452743,110339775100053452743,,7100053452743750627654954258432,1004152002092962395257,OS2018030220020999706,,jdpay.NATIVE,交易,,,46300,0,,,,,,京东支付,,-125,27,46175,,,,,
2018-03-02 18:04:57.003720,,100053452743,110339775100053452743,,7100053452743750510248114130944,1014152001393116251033,OS2018030218053075487,,jdpay.NATIVE,交易,,,299800,0,,,,,,京东支付,,-809,27,298991,,,,,
2018-03-02 12:53:18.526468,,100053452743,110339775100053452743,,7100053452743750196539810516992,1041151999523247768991,OS2018030212535216903,,jdpay.NATIVE,交易,,,285658,0,,,,,,京东支付,,-771,27,284887,,,,,
2018-03-02 11:11:11.491505,,100053452743,110339775100053452743,,7100053452743750093742637191168,1041151998910566514430,OS2018030211114498345,,jdpay.NATIVE,交易,,,50000,0,,,,,,京东支付,,-135,27,49865,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
4,681758,0,681758,-1840
