交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-02 20:55:52.512933,,100053452246,110339775100053452246,,7100053452246750682307188363264,1036152002418690418937,OS2018030220562671197,,jdpay.NATIVE,交易,,,189500,0,,,,,,京东支付,,-512,27,188988,,,,,
2018-03-02 13:23:40.848435,,100053452246,110339775100053452246,,7100053452246750227113752793088,1016151999702846562157,OS2018030213234828429,,jdpay.NATIVE,交易,,,298000,0,,,,,,京东支付,,-805,27,297195,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
2,487500,0,487500,-1317
