交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-02 18:10:53.255582,,100053456334,110339775100053456334,,7100053456334750516225668419584,1033152001428764289552,OS2018030218112788838,,jdpay.NATIVE,交易,,,259800,0,,,,,,京东支付,,-701,27,259099,,,,,
2018-03-02 15:16:38.555053,,100053456334,110339775100053456334,,7100053456334750340824522428416,1014152000383206201984,OS2018030215171246350,,jdpay.NATIVE,交易,,,219500,0,,,,,,京东支付,,-593,27,218907,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
2,479300,0,479300,-1294
