交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-02 19:30:48.397911,,100053452532,110339775100053452532,,7100053452532750596675153301504,1034152001905600624241,OS2018030219305675601,,jdpay.NATIVE,交易,,,242000,0,,,,,,京东支付,,-653,27,241347,,,,,
2018-03-02 17:37:43.969128,,100053452532,110339775100053452532,,7100053452532750482850685521920,1009152001229819601144,OS2018030217381728599,,jdpay.NATIVE,交易,,,99800,0,,,,,,京东支付,,-269,27,99531,,,,,
2018-03-02 17:05:50.987434,,100053452532,110339775100053452532,,7100053452532750450756172779520,1014152001035860581272,OS2018030217055857471,,jdpay.NATIVE,交易,,,198000,0,,,,,,京东支付,,-535,27,197465,,,,,
2018-03-02 15:27:53.828205,,100053452532,110339775100053452532,,7100053452532750352154108760064,1033152000448135430707,OS2018030215280113733,,jdpay.NATIVE,交易,,,275000,0,,,,,,京东支付,,-743,27,274257,,,,,
2018-03-02 14:11:31.191092,,100053452532,110339775100053452532,,7100053452532750275270083743744,1015151999989854042242,OS2018030214113885444,,jdpay.NATIVE,交易,,,289000,0,,,,,,京东支付,,-780,27,288220,,,,,
2018-03-02 09:56:28.402435,,100053452532,110339775100053452532,,7100053452532750018532239609856,1007151998459580755267,OS2018030209563597084,,jdpay.NATIVE,交易,,,49800,0,,,,,,京东支付,,-134,27,49666,,,,,
2018-03-02 09:48:34.549466,,100053452532,110339775100053452532,,7100053452532750010581601357824,1006151998414840046838,OS2018030209490778036,,jdpay.NATIVE,交易,,,297500,0,,,,,,京东支付,,-803,27,296697,,,,,
2018-03-02 09:45:14.023492,,100053452532,110339775100053452532,,7100053452532750007217819881472,1006151998394797855462,OS2018030209454751757,,jdpay.NATIVE,交易,,,298100,0,,,,,,京东支付,,-805,27,297295,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
8,1749200,0,1749200,-4722
