交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-02 17:46:14.749434,,100053455211,110339775100053455211,,7100053455211750491420335935488,1017152001278264520262,OS2018030217461707112,,jdpay.NATIVE,交易,,,11000,0,,,,,,京东支付,,-30,27,10970,,,,,
2018-03-02 16:29:02.498544,,100053455211,110339775100053455211,,7100053455211750413703893094400,1008152000817664657723,OS2018030216293676997,,jdpay.NATIVE,交易,,,285000,0,,,,,,京东支付,,-770,27,284230,,,,,
2018-03-02 10:10:07.681662,,100053455211,110339775100053455211,,7100053455211750032276924010496,1039151998544105779230,OS2018030210104106967,,jdpay.NATIVE,交易,,,120200,0,,,,,,京东支付,,-325,27,119875,,,,,
2018-03-02 10:08:27.367509,,100053455211,110339775100053455211,,7100053455211750030594621706240,1023151998531485812274,OS2018030210083493981,,jdpay.NATIVE,交易,,,293270,0,,,,,,京东支付,,-792,27,292478,,,,,
2018-03-02 08:48:38.941231,,100053455211,110339775100053455211,,7100053455211749950257677864960,1020151998052610845623,OS2018030208484688615,,jdpay.NATIVE,交易,,,286900,0,,,,,,京东支付,,-775,27,286125,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
5,996370,0,996370,-2692
