交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-02 19:37:20.957781,,100053453386,110339775100053453386,,7100053453386750603260580204544,1013152001947520764050,OS2018030219375596564,,jdpay.NATIVE,交易,,,86600,0,,,,,,京东支付,,-234,27,86366,,,,,
2018-03-02 16:51:53.366955,,100053453386,110339775100053453386,,7100053453386750436703593435136,1030152000952156874450,OS2018030216520093761,,jdpay.NATIVE,交易,,,289000,0,,,,,,京东支付,,-780,27,288220,,,,,
2018-03-02 16:41:06.334926,,100053453386,110339775100053453386,,7100053453386750425848281698304,1003152000887487570984,OS2018030216411320053,,jdpay.NATIVE,交易,,,201500,0,,,,,,京东支付,,-544,27,200956,,,,,
2018-03-02 14:52:34.956889,,100053453386,110339775100053453386,,7100053453386750316605100658688,1032152000236294427999,OS2018030214524233385,,jdpay.NATIVE,交易,,,200100,0,,,,,,京东支付,,-540,27,199560,,,,,
2018-03-02 14:55:21.397926,,100053453386,110339775100053453386,,7100053453386750319397870112768,1045152000255595900147,OS2018030214555595435,,jdpay.NATIVE,交易,,,20000,0,,,,,,京东支付,,-54,27,19946,,,,,
2018-03-02 12:04:39.935894,,100053453386,110339775100053453386,,7100053453386750147574347993088,1029151999231356682138,OS2018030212051346896,,jdpay.NATIVE,交易,,,299800,0,,,,,,京东支付,,-809,27,298991,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
6,1097000,0,1097000,-2961
