交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-02 14:43:31.513717,,100053456247,110339775100053456247,,7100053456247750307487858692096,1016152000184509625214,OS2018030214440524135,,jdpay.NATIVE,交易,,,46800,0,,,,,,京东支付,,-126,27,46674,,,,,
2018-03-02 10:39:46.821910,,100053456247,110339775100053456247,,7100053456247750062125922783232,1003151998719479135081,OS2018030210395473017,,jdpay.NATIVE,交易,,,200100,0,,,,,,京东支付,,-540,27,199560,,,,,
2018-03-02 09:54:19.518815,,100053456247,110339775100053456247,,7100053456247750016369271115776,1044151998449303360654,OS2018030209545274568,,jdpay.NATIVE,交易,,,50100,0,,,,,,京东支付,,-135,27,49965,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
3,297000,0,297000,-801
