交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-02 21:45:13.468950,,100053453476,110339775100053453476,,7100053453476750731983920959488,1015152002714812166792,OS2018030221454774093,,jdpay.NATIVE,交易,,,200100,0,,,,,,京东支付,,-540,27,199560,,,,,
2018-03-02 18:56:34.706157,,100053453476,110339775100053453476,,7100053453476750562219449257984,1023152001700256715926,OS2018030218564254076,,jdpay.NATIVE,交易,,,202000,0,,,,,,京东支付,,-545,27,201455,,,,,
2018-03-02 16:26:32.468731,,100053453476,110339775100053453476,,7100053453476750411186655858688,1041152000800041245133,OS2018030216263904792,,jdpay.NATIVE,交易,,,204900,0,,,,,,京东支付,,-553,27,204347,,,,,
2018-03-02 15:55:19.248648,,100053453476,110339775100053453476,,7100053453476750379759709589504,1038152000615309250283,OS2018030215555357042,,jdpay.NATIVE,交易,,,298900,0,,,,,,京东支付,,-807,27,298093,,,,,
2018-03-02 15:50:00.203961,,100053453476,110339775100053453476,,7100053453476750374406887968768,1019152000580783285924,OS2018030215500220458,,jdpay.NATIVE,交易,,,299500,0,,,,,,京东支付,,-809,27,298691,,,,,
2018-03-02 14:57:40.711951,,100053453476,110339775100053453476,,7100053453476750321735120850944,1020152000269472290939,OS2018030214581444268,,jdpay.NATIVE,交易,,,203400,0,,,,,,京东支付,,-549,27,202851,,,,,
2018-03-02 12:57:23.171266,,100053453476,110339775100053453476,,7100053453476750200644876505088,1001151999547797190298,OS2018030212575673992,,jdpay.NATIVE,交易,,,20000,0,,,,,,京东支付,,-54,27,19946,,,,,
2018-03-02 10:03:36.409180,,100053453476,110339775100053453476,,7100053453476750025712385265664,1036151998505000001192,OS2018030210040972648,,jdpay.NATIVE,交易,,,242700,0,,,,,,京东支付,,-655,27,242045,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
8,1671500,0,1671500,-4512
