交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-02 21:04:02.011186,,100053452338,110339775100053452338,,7100053452338750690520055025664,1042152002467600934425,OS2018030221043661134,,jdpay.NATIVE,交易,,,210000,0,,,,,,京东支付,,-567,27,209433,,,,,
2018-03-02 17:54:49.251486,,100053452338,110339775100053452338,,7100053452338750500052112904192,1047152001329702797042,OS2018030217545683509,,jdpay.NATIVE,交易,,,243900,0,,,,,,京东支付,,-659,27,243241,,,,,
2018-03-02 11:42:09.021043,,100053452338,110339775100053452338,,7100053452338750124909603721216,1021151999093688371931,OS2018030211421668527,,jdpay.NATIVE,交易,,,78800,0,,,,,,京东支付,,-213,27,78587,,,,,
2018-03-02 09:35:22.482909,,100053452338,110339775100053452338,,7100053452338749997293240979456,1004151998335621594945,OS2018030209355533042,,jdpay.NATIVE,交易,,,182000,0,,,,,,京东支付,,-491,27,181509,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
4,714700,0,714700,-1930
