交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-03 12:39:35.691143,,100053451799,110339775100053451799,,7100053451799751632286677078016,1022152008078418574134,OS2018030312394436127,,jdpay.NATIVE,交易,,,1500,0,,,,,,京东支付,,-4,27,1496,,,,,
2018-03-03 11:49:09.163389,,100053451799,110339775100053451799,,7100053451799751581510164942848,1049152007778408608161,OS2018030311494447319,,jdpay.NATIVE,交易,,,298600,0,,,,,,京东支付,,-806,27,297794,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
2,300100,0,300100,-810
