交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-03 21:42:22.712156,,100053452246,110339775100053452246,,7100053452246752178670791168000,1023152011337812175079,OS2018030321425850391,,jdpay.NATIVE,交易,,,247000,0,,,,,,京东支付,,-667,27,246333,,,,,
2018-03-03 18:01:42.571878,,100053452246,110339775100053452246,,7100053452246751956538169102336,1040152010011154796374,OS2018030318015128237,,jdpay.NATIVE,交易,,,23000,0,,,,,,京东支付,,-62,27,22938,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
2,270000,0,270000,-729
