交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-03 18:57:54.732080,,100053454362,110339775100053454362,,7100053454362752013113407705088,1039152010348355263216,OS2018030318580309497,,jdpay.NATIVE,交易,,,50000,0,,,,,,京东支付,,-135,27,49865,,,,,
2018-03-03 14:27:19.643652,,100053454362,110339775100053454362,,7100053454362751740733981069312,1008152008727565846723,OS2018030314275592662,,jdpay.NATIVE,交易,,,123600,0,,,,,,京东支付,,-334,27,123266,,,,,
2018-03-03 12:13:58.829307,,100053454362,110339775100053454362,,7100053454362751606502562336768,1004152007924711951500,OS2018030312140742252,,jdpay.NATIVE,交易,,,123400,0,,,,,,京东支付,,-333,27,123067,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
3,297000,0,297000,-802
