交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-03 17:52:57.469015,,100053456247,110339775100053456247,,7100053456247751947728469757952,1031152009958608930044,OS2018030317530678529,,jdpay.NATIVE,交易,,,168800,0,,,,,,京东支付,,-456,27,168344,,,,,
2018-03-03 13:51:54.999453,,100053456247,110339775100053456247,,7100053456247751705088688001024,1033152008512387480480,OS2018030313520303222,,jdpay.NATIVE,交易,,,200400,0,,,,,,京东支付,,-541,27,199859,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
2,369200,0,369200,-997
