交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-03 20:58:09.010605,,100053452743,110339775100053452743,,7100053452743752134149260316672,1007152011069878608018,OS2018030320581705167,,jdpay.NATIVE,交易,,,286000,0,,,,,,京东支付,,-772,27,285228,,,,,
2018-03-03 20:18:36.968721,,100053452743,110339775100053452743,,7100053452743752094352529559552,1004152010832583970597,OS2018030320184506279,,jdpay.NATIVE,交易,,,256800,0,,,,,,京东支付,,-693,27,256107,,,,,
2018-03-03 19:34:49.434997,,100053452743,110339775100053452743,,7100053452743752050269958311936,1029152010569843530805,OS2018030319345881196,,jdpay.NATIVE,交易,,,254700,0,,,,,,京东支付,,-688,27,254012,,,,,
2018-03-03 19:31:24.544309,,100053452743,110339775100053452743,,7100053452743752046832424194048,1009152010549312962880,OS2018030319313393984,,jdpay.NATIVE,交易,,,245300,0,,,,,,京东支付,,-662,27,244638,,,,,
2018-03-03 15:58:21.773799,,100053452743,110339775100053452743,,7100053452743751832373349453824,1043152009273773659383,OS2018030315585750724,,jdpay.NATIVE,交易,,,52000,0,,,,,,京东支付,,-140,27,51860,,,,,
2018-03-03 14:10:42.653592,,100053452743,110339775100053452743,,7100053452743751724007163826176,1037152008627874563794,OS2018030314111769465,,jdpay.NATIVE,交易,,,295000,0,,,,,,京东支付,,-797,27,294203,,,,,
2018-03-03 09:37:10.068973,,100053452743,110339775100053452743,,7100053452743751448649763524608,1023152006983871844313,OS2018030309371842126,,jdpay.NATIVE,交易,,,289000,0,,,,,,京东支付,,-780,27,288220,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
7,1678800,0,1678800,-4532
