交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-03 13:50:44.482032,,100053455948,110339775100053455948,,7100053455948751703905206407168,1032152008505392914942,OS2018030313505206363,,jdpay.NATIVE,交易,,,198000,0,,,,,,京东支付,,-535,27,197465,,,,,
2018-03-03 11:19:03.429377,,100053455948,110339775100053455948,,7100053455948751551214589710336,1022152007597875027319,OS2018030311193878496,,jdpay.NATIVE,交易,,,230000,0,,,,,,京东支付,,-621,27,229379,,,,,
2018-03-03 09:37:08.389965,,100053455948,110339775100053455948,,7100053455948751448621494439936,1033152006986346104290,OS2018030309374380812,,jdpay.NATIVE,交易,,,124500,0,,,,,,京东支付,,-336,27,124164,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
3,552500,0,552500,-1492
