交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-03 21:28:34.385721,,100053452055,110339775100053452055,,7100053452055752164773635952640,1007152011255071426502,OS2018030321291055262,,jdpay.NATIVE,交易,,,110800,0,,,,,,京东支付,,-299,27,110501,,,,,
2018-03-03 20:45:00.029766,,100053452055,110339775100053452055,,7100053452055752120912188411904,1015152010993621713628,OS2018030320453557746,,jdpay.NATIVE,交易,,,270000,0,,,,,,京东支付,,-729,27,269271,,,,,
2018-03-03 19:49:46.342607,,100053452055,110339775100053452055,,7100053452055752065317627891712,1038152010659597180015,OS2018030319495505902,,jdpay.NATIVE,交易,,,211400,0,,,,,,京东支付,,-571,27,210829,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
3,592200,0,592200,-1599
