交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-03 17:38:33.777011,,100053455211,110339775100053455211,,7100053455211751933237468205056,1002152009872261612535,OS2018030317384229764,,jdpay.NATIVE,交易,,,256300,0,,,,,,京东支付,,-692,27,255608,,,,,
2018-03-03 15:09:00.099462,,100053455211,110339775100053455211,,7100053455211751782684570292224,1017152008974861273720,OS2018030315090870216,,jdpay.NATIVE,交易,,,250000,0,,,,,,京东支付,,-675,27,249325,,,,,
2018-03-03 15:00:44.572558,,100053455211,110339775100053455211,,7100053455211751774371326070784,1043152008928079346899,OS2018030315011972864,,jdpay.NATIVE,交易,,,110000,0,,,,,,京东支付,,-297,27,109703,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
3,616300,0,616300,-1664
