交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-03 16:12:11.294186,,100053453279,110339775100053453279,,7100053453279751846290351591424,1014152009354060099734,OS2018030316121982260,,jdpay.NATIVE,交易,,,291800,0,,,,,,京东支付,,-788,27,291012,,,,,
2018-03-03 14:19:43.810302,,100053453279,110339775100053453279,,7100053453279751733086287958016,1023152008679240621950,OS2018030314195296497,,jdpay.NATIVE,交易,,,268800,0,,,,,,京东支付,,-726,27,268074,,,,,
2018-03-03 09:38:20.703635,,100053453279,110339775100053453279,,7100053453279751449835040280576,1007152006990929703080,OS2018030309382894199,,jdpay.NATIVE,交易,,,298600,0,,,,,,京东支付,,-806,27,297794,,,,,
2018-03-03 09:16:21.420608,,100053453279,110339775100053453279,,7100053453279751427700910067712,1031152006861612250723,OS2018030309165662078,,jdpay.NATIVE,交易,,,296550,0,,,,,,京东支付,,-801,27,295749,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
4,1155750,0,1155750,-3121
