交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-03 20:12:33.034337,,100053454270,110339775100053454270,,7100053454270752088246948335616,1047152010796216588391,OS2018030320124190347,,jdpay.NATIVE,交易,,,30000,0,,,,,,京东支付,,-81,27,29919,,,,,
2018-03-03 18:44:24.446385,,100053454270,110339775100053454270,,7100053454270751999519048208384,1047152010270028352413,OS2018030318450071718,,jdpay.NATIVE,交易,,,294000,0,,,,,,京东支付,,-794,27,293206,,,,,
2018-03-03 18:26:20.908356,,100053454270,110339775100053454270,,7100053454270751981340699267072,1029152010158978631446,OS2018030318262969586,,jdpay.NATIVE,交易,,,273900,0,,,,,,京东支付,,-740,27,273160,,,,,
2018-03-03 17:59:00.320230,,100053454270,110339775100053454270,,7100053454270751953815981920256,1019152009994950777158,OS2018030317590821772,,jdpay.NATIVE,交易,,,297668,0,,,,,,京东支付,,-804,27,296864,,,,,
2018-03-03 11:38:20.732396,,100053454270,110339775100053454270,,7100053454270751570631432212480,1019152007713602193137,OS2018030311385567503,,jdpay.NATIVE,交易,,,35600,0,,,,,,京东支付,,-96,27,35504,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
5,931168,0,931168,-2515
