交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-03 16:22:02.523407,,100053455010,110339775100053455010,,7100053455010751856209058467840,1013152009413165489907,OS2018030316221190942,,jdpay.NATIVE,交易,,,67000,0,,,,,,京东支付,,-181,27,66819,,,,,
2018-03-03 13:30:47.726045,,100053455010,110339775100053455010,,7100053455010751683826754916352,1039152008388388639757,OS2018030313312309677,,jdpay.NATIVE,交易,,,298700,0,,,,,,京东支付,,-806,27,297894,,,,,
2018-03-03 10:26:25.588527,,100053455010,110339775100053455010,,7100053455010751498235379060736,1006152007279426004930,OS2018030310263320644,,jdpay.NATIVE,交易,,,200200,0,,,,,,京东支付,,-541,27,199659,,,,,
2018-03-03 09:20:04.167055,,100053455010,110339775100053455010,,7100053455010751431437816827904,1016152006883962448820,OS2018030309203948520,,jdpay.NATIVE,交易,,,263900,0,,,,,,京东支付,,-713,27,263187,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
4,829800,0,829800,-2241
