交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-03 19:51:51.267847,,100053456078,110339775100053456078,,7100053456078752067413672595456,1010152010672019603293,OS2018030319515946981,,jdpay.NATIVE,交易,,,285900,0,,,,,,京东支付,,-772,27,285128,,,,,
2018-03-03 18:50:23.317476,,100053456078,110339775100053456078,,7100053456078752005539954823168,1001152010305922300797,OS2018030318505889794,,jdpay.NATIVE,交易,,,59900,0,,,,,,京东支付,,-162,27,59738,,,,,
2018-03-03 15:47:30.041478,,100053456078,110339775100053456078,,7100053456078751821439251386368,1019152009205864860071,OS2018030315473829911,,jdpay.NATIVE,交易,,,90600,0,,,,,,京东支付,,-245,27,90355,,,,,
2018-03-03 15:14:57.918382,,100053456078,110339775100053456078,,7100053456078751788687978270720,1016152009010637086060,OS2018030315150693404,,jdpay.NATIVE,交易,,,99800,0,,,,,,京东支付,,-269,27,99531,,,,,
2018-03-03 12:04:45.084121,,100053456078,110339775100053456078,,7100053456078751597211374194688,1014152007872076191305,OS2018030312052090640,,jdpay.NATIVE,交易,,,199800,0,,,,,,京东支付,,-539,27,199261,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
5,736000,0,736000,-1987
