交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-04 17:55:33.581354,,100053452155,110339775100053452155,,7100053452155753399899124535296,1021152018617160160301,OS2018030417561011950,,jdpay.NATIVE,交易,,,299800,0,,,,,,京东支付,,-809,27,298991,,,,,
2018-03-04 15:09:06.999106,,100053452155,110339775100053452155,,7100053452155753232351762452480,1043152017618401224654,OS2018030415094457153,,jdpay.NATIVE,交易,,,285600,0,,,,,,京东支付,,-771,27,284829,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
2,585400,0,585400,-1580
