交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-04 10:51:03.064191,,100053454425,110339775100053454425,,7100053454425752972574691561472,1007152016067281568299,OS2018030410511212324,,jdpay.NATIVE,交易,,,297600,0,,,,,,京东支付,,-804,27,296796,,,,,
2018-03-04 10:20:28.265325,,100053454425,110339775100053454425,,7100053454425752941791654842368,1035152015886552230950,OS2018030410210477163,,jdpay.NATIVE,交易,,,199800,0,,,,,,京东支付,,-539,27,199261,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
2,497400,0,497400,-1343
