交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-04 20:14:13.647832,,100053455621,110339775100053455621,,7100053455621753539486400516096,1031152019449134517061,OS2018030420145167477,,jdpay.NATIVE,交易,,,260100,0,,,,,,京东支付,,-702,27,259398,,,,,
2018-03-04 17:49:09.499191,,100053455621,110339775100053455621,,7100053455621753393455113310208,1038152018578607354142,OS2018030417494690782,,jdpay.NATIVE,交易,,,290900,0,,,,,,京东支付,,-785,27,290115,,,,,
2018-03-04 09:47:54.533993,,100053455621,110339775100053455621,,7100053455621752909013588512768,1048152015691133455408,OS2018030409483132411,,jdpay.NATIVE,交易,,,268000,0,,,,,,京东支付,,-724,27,267276,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
3,819000,0,819000,-2211
