交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-04 13:46:56.727565,,100053454956,110339775100053454956,,7100053454956753149635993407488,1048152017122642646428,OS2018030413470645541,,jdpay.NATIVE,交易,,,90200,0,,,,,,京东支付,,-244,27,89956,,,,,
2018-03-04 12:59:53.116807,,100053454956,110339775100053454956,,7100053454956753102262604795904,1009152016840240176424,OS2018030413000271616,,jdpay.NATIVE,交易,,,265000,0,,,,,,京东支付,,-716,27,264284,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
2,355200,0,355200,-960
