交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-04 21:45:50.323524,,100053451799,110339775100053451799,,7100053451799753631705639817216,1004152019998878035031,OS2018030421462782793,,jdpay.NATIVE,交易,,,138000,0,,,,,,京东支付,,-373,27,137627,,,,,
2018-03-04 16:25:33.181978,,100053451799,110339775100053451799,,7100053451799753309295212367872,1041152018077067604871,OS2018030416261059192,,jdpay.NATIVE,交易,,,299800,0,,,,,,京东支付,,-809,27,298991,,,,,
2018-03-04 15:08:28.546219,,100053451799,110339775100053451799,,7100053451799753231706745606144,1006152017614515870438,OS2018030415090504406,,jdpay.NATIVE,交易,,,11000,0,,,,,,京东支付,,-30,27,10970,,,,,
2018-03-04 13:29:32.363487,,100053451799,110339775100053451799,,7100053451799753132114054090752,1014152017020995556088,OS2018030413300911597,,jdpay.NATIVE,交易,,,69500,0,,,,,,京东支付,,-188,27,69312,,,,,
2018-03-04 12:42:04.058247,,100053451799,110339775100053451799,,7100053451799753084327425347584,1036152016733354547216,OS2018030412421382895,,jdpay.NATIVE,交易,,,289200,0,,,,,,京东支付,,-781,27,288419,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
5,807500,0,807500,-2181
