交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-04 21:09:51.707364,,100053455456,110339775100053455456,,7100053455456753595489670270976,1018152019782920911317,OS2018030421102972578,,jdpay.NATIVE,交易,,,288900,0,,,,,,京东支付,,-780,27,288120,,,,,
2018-03-04 20:26:28.624614,,100053455456,110339775100053455456,,7100053455456753551817385316352,1050152019519864829894,OS2018030420263884943,,jdpay.NATIVE,交易,,,299800,0,,,,,,京东支付,,-809,27,298991,,,,,
2018-03-04 17:51:01.126078,,100053455456,110339775100053455456,,7100053455456753395327785635840,1012152018587105044171,OS2018030417511007097,,jdpay.NATIVE,交易,,,280000,0,,,,,,京东支付,,-756,27,279244,,,,,
2018-03-04 11:19:18.472445,,100053455456,110339775100053455456,,7100053455456753001018599542784,1048152016239583550135,OS2018030411195437162,,jdpay.NATIVE,交易,,,92500,0,,,,,,京东支付,,-250,27,92250,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
4,961200,0,961200,-2595
