交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-04 18:51:14.036794,,100053453631,110339775100053453631,,7100053453631753455942407426048,1033152018948341779683,OS2018030418512393065,,jdpay.NATIVE,交易,,,278600,0,,,,,,京东支付,,-752,27,277848,,,,,
2018-03-04 12:44:24.192735,,100053453631,110339775100053453631,,7100053453631753086678735392768,1046152016747347915295,OS2018030412443391075,,jdpay.NATIVE,交易,,,249900,0,,,,,,京东支付,,-675,27,249225,,,,,
2018-03-04 09:02:00.625560,,100053453631,110339775100053453631,,7100053453631752862810846924800,1030152015415704964515,OS2018030409023798933,,jdpay.NATIVE,交易,,,149800,0,,,,,,京东支付,,-404,27,149396,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
3,678300,0,678300,-1831
