交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-04 21:11:37.692892,,100053451814,110339775100053451814,,7100053451814753597267400331264,1033152019790734546101,OS2018030421114721640,,jdpay.NATIVE,交易,,,296800,0,,,,,,京东支付,,-801,27,295999,,,,,
2018-03-04 20:21:13.802450,,100053451814,110339775100053451814,,7100053451814753546535598952448,1036152019488304260069,OS2018030420212348273,,jdpay.NATIVE,交易,,,41100,0,,,,,,京东支付,,-111,27,40989,,,,,
2018-03-04 16:51:20.776523,,100053451814,110339775100053451814,,7100053451814753335259446775808,1017152018229028355323,OS2018030416513009062,,jdpay.NATIVE,交易,,,200600,0,,,,,,京东支付,,-542,27,200058,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
3,538500,0,538500,-1454
