交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-04 21:31:07.854207,,100053452532,110339775100053452532,,7100053452532753616899880914944,1011152019910509798582,OS2018030421314565758,,jdpay.NATIVE,交易,,,290000,0,,,,,,京东支付,,-783,27,289217,,,,,
2018-03-04 21:08:32.969466,,100053452532,110339775100053452532,,7100053452532753594168849862656,1022152019772339758258,OS2018030421084277622,,jdpay.NATIVE,交易,,,289900,0,,,,,,京东支付,,-783,27,289117,,,,,
2018-03-04 19:16:52.600128,,100053452532,110339775100053452532,,7100053452532753481755396280320,1049152019105006245000,OS2018030419172999950,,jdpay.NATIVE,交易,,,299200,0,,,,,,京东支付,,-808,27,298392,,,,,
2018-03-04 13:31:41.390638,,100053452532,110339775100053452532,,7100053452532753134278684053504,1044152017033883731814,OS2018030413321898024,,jdpay.NATIVE,交易,,,266800,0,,,,,,京东支付,,-720,27,266080,,,,,
2018-03-04 13:21:25.806341,,100053452532,110339775100053452532,,7100053452532753123950881542144,1035152016972250989884,OS2018030413220285747,,jdpay.NATIVE,交易,,,202000,0,,,,,,京东支付,,-545,27,201455,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
5,1347900,0,1347900,-3639
