交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-01 17:34:38.753530,,100053452155,110339775100053452155,,7100053452155749030192216412160,1031151992568568113168,OS2018030117344553685,,jdpay.NATIVE,交易,,,279800,0,,,,,,京东支付,,-755,27,279045,,,,,
2018-03-01 12:35:54.485417,,100053452155,110339775100053452155,,7100053452155748729472128782336,1022151990776198474056,OS2018030112360051560,,jdpay.NATIVE,交易,,,136900,0,,,,,,京东支付,,-370,27,136530,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
2,416700,0,416700,-1125
