交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-01 19:49:09.405410,,100053456575,110339775100053456575,,7100053456575749165595388940288,1032151993375694373079,OS2018030119491653847,,jdpay.NATIVE,交易,,,189200,0,,,,,,京东支付,,-511,27,188689,,,,,
2018-03-01 19:13:00.224347,,100053456575,110339775100053456575,,7100053456575749129202286071808,1005151993161390624568,OS2018030119133245943,,jdpay.NATIVE,交易,,,299000,0,,,,,,京东支付,,-807,27,298193,,,,,
2018-03-01 15:05:22.700434,,100053456575,110339775100053456575,,7100053456575748879934194847744,1010151991672923278709,OS2018030115052933130,,jdpay.NATIVE,交易,,,286900,0,,,,,,京东支付,,-775,27,286125,,,,,
2018-03-01 12:02:15.029200,,100053456575,110339775100053456575,,7100053456575748695591900549120,1046151990576732512078,OS2018030112024721476,,jdpay.NATIVE,交易,,,8100,0,,,,,,京东支付,,-22,27,8078,,,,,
2018-03-01 10:41:19.317430,,100053456575,110339775100053456575,,7100053456575748614126419972096,1046151990088556827425,OS2018030110412544052,,jdpay.NATIVE,交易,,,66800,0,,,,,,京东支付,,-180,27,66620,,,,,
2018-03-01 08:01:10.557984,,100053456575,110339775100053456575,,7100053456575748452918496727040,1044151989127677001515,OS2018030108011601324,,jdpay.NATIVE,交易,,,298000,0,,,,,,京东支付,,-805,27,297195,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
6,1148000,0,1148000,-3100
