交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-01 15:39:29.391446,,100053451799,110339775100053451799,,7100053451799748914272073027584,1021151991880102097936,OS2018030115400191370,,jdpay.NATIVE,交易,,,298000,0,,,,,,京东支付,,-805,27,297195,,,,,
2018-03-01 15:05:11.409990,,100053451799,110339775100053451799,,7100053451799748879745032261632,1002151991674328134311,OS2018030115054377949,,jdpay.NATIVE,交易,,,298700,0,,,,,,京东支付,,-806,27,297894,,,,,
2018-03-01 14:41:55.626410,,100053451799,110339775100053451799,,7100053451799748856327461277696,1048151991534848902329,OS2018030114422799000,,jdpay.NATIVE,交易,,,17000,0,,,,,,京东支付,,-46,27,16954,,,,,
2018-03-01 12:51:11.292017,,100053451799,110339775100053451799,,7100053451799748744854134722560,1033151990867772842363,OS2018030112511705699,,jdpay.NATIVE,交易,,,65900,0,,,,,,京东支付,,-178,27,65722,,,,,
2018-03-01 11:43:11.405444,,100053451799,110339775100053451799,,7100053451799748676404671025152,1018151990462301747733,OS2018030111434376415,,jdpay.NATIVE,交易,,,36700,0,,,,,,京东支付,,-99,27,36601,,,,,
2018-03-01 10:51:22.614740,,100053451799,110339775100053451799,,7100053451799748624248198795264,1035151990151412449696,OS2018030110515428034,,jdpay.NATIVE,交易,,,259800,0,,,,,,京东支付,,-701,27,259099,,,,,
2018-03-01 10:44:44.480405,,100053451799,110339775100053451799,,7100053451799748617567947067392,1035151990109044211509,OS2018030110445051388,,jdpay.NATIVE,交易,,,115500,0,,,,,,京东支付,,-312,27,115188,,,,,
2018-03-01 09:48:17.863044,,100053451799,110339775100053451799,,7100053451799748560750479544320,1020151989773026364930,OS2018030109484998556,,jdpay.NATIVE,交易,,,295800,0,,,,,,京东支付,,-799,27,295001,,,,,
2018-03-01 09:32:18.752124,,100053451799,110339775100053451799,,7100053451799748544659451678720,1002151989677040489945,OS2018030109325002707,,jdpay.NATIVE,交易,,,88650,0,,,,,,京东支付,,-239,27,88411,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
9,1476050,0,1476050,-3985
