交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-01 16:58:10.415228,,100053452743,110339775100053452743,,7100053452743748993477947297792,1011151992352318329504,OS2018030116584219284,,jdpay.NATIVE,交易,,,266200,0,,,,,,京东支付,,-719,27,265481,,,,,
2018-03-01 16:20:01.630224,,100053452743,110339775100053452743,,7100053452743748955077986881536,1007151992123481866840,OS2018030116203323995,,jdpay.NATIVE,交易,,,269000,0,,,,,,京东支付,,-726,27,268274,,,,,
2018-03-01 14:38:24.004977,,100053452743,110339775100053452743,,7100053452743748852777150189568,1023151991511043205750,OS2018030114383022554,,jdpay.NATIVE,交易,,,20000,0,,,,,,京东支付,,-54,27,19946,,,,,
2018-03-01 12:53:56.266189,,100053452743,110339775100053452743,,7100053452743748747621604134912,1018151990886840742775,OS2018030112542806218,,jdpay.NATIVE,交易,,,298000,0,,,,,,京东支付,,-805,27,297195,,,,,
2018-03-01 11:19:22.217539,,100053452743,110339775100053452743,,7100053452743748652427177234432,1045151990319495124043,OS2018030111195476481,,jdpay.NATIVE,交易,,,298800,0,,,,,,京东支付,,-807,27,297993,,,,,
2018-03-01 10:48:16.290580,,100053452743,110339775100053452743,,7100053452743748621121647153152,1013151990132863368595,OS2018030110484833439,,jdpay.NATIVE,交易,,,146300,0,,,,,,京东支付,,-395,27,145905,,,,,
2018-03-01 08:50:09.886009,,100053452743,110339775100053452743,,7100053452743748502231902457856,1049151989424116770207,OS2018030108504139578,,jdpay.NATIVE,交易,,,295000,0,,,,,,京东支付,,-797,27,294203,,,,,
2018-03-01 08:10:39.505001,,100053452743,110339775100053452743,,7100053452743748462463441309696,1021151989187130539777,OS2018030108111133700,,jdpay.NATIVE,交易,,,160000,0,,,,,,京东支付,,-432,27,159568,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
8,1753300,0,1753300,-4735
