交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-01 19:45:38.112333,,100053453993,110339775100053453993,,7100053453993749162049810075648,1021151993357016372633,OS2018030119461014666,,jdpay.NATIVE,交易,,,256800,0,,,,,,京东支付,,-693,27,256107,,,,,
2018-03-01 16:23:06.925232,,100053453993,110339775100053453993,,7100053453993748958187072917504,1023151992139345624339,OS2018030116231308108,,jdpay.NATIVE,交易,,,299800,0,,,,,,京东支付,,-809,27,298991,,,,,
2018-03-01 16:11:37.726137,,100053453993,110339775100053453993,,7100053453993748946624165842944,1050151992073094858735,OS2018030116121052376,,jdpay.NATIVE,交易,,,133690,0,,,,,,京东支付,,-361,27,133329,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
3,690290,0,690290,-1863
