交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-01 19:43:31.084637,,100053452443,110339775100053452443,,7100053452443749159919270891520,1007151993341712792582,OS2018030119433775358,,jdpay.NATIVE,交易,,,39800,0,,,,,,京东支付,,-107,27,39693,,,,,
2018-03-01 17:26:39.455375,,100053452443,110339775100053452443,,7100053452443749022150645125120,1008151992520610381184,OS2018030117264590459,,jdpay.NATIVE,交易,,,235100,0,,,,,,京东支付,,-635,27,234465,,,,,
2018-03-01 17:05:59.547850,,100053452443,110339775100053452443,,7100053452443749001348491120641,1006151992396628642442,OS2018030117060687688,,jdpay.NATIVE,交易,,,299000,0,,,,,,京东支付,,-807,27,298193,,,,,
2018-03-01 15:44:14.189313,,100053452443,110339775100053452443,,7100053452443748919050525609984,1010151991906081359598,OS2018030115442033078,,jdpay.NATIVE,交易,,,286372,0,,,,,,京东支付,,-773,27,285599,,,,,
2018-03-01 09:44:09.972636,,100053452443,110339775100053452443,,7100053452443748556591457505280,1049151989745677818999,OS2018030109441601778,,jdpay.NATIVE,交易,,,299800,0,,,,,,京东支付,,-809,27,298991,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
5,1160072,0,1160072,-3131
