交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-01 16:56:32.635883,,100053455621,110339775100053455621,,7100053455621748991837185904640,1032151992342528790967,OS2018030116570418540,,jdpay.NATIVE,交易,,,199500,0,,,,,,京东支付,,-539,27,198961,,,,,
2018-03-01 16:05:58.717725,,100053455621,110339775100053455621,,7100053455621748940936588955648,1046151992039126694237,OS2018030116063160189,,jdpay.NATIVE,交易,,,286990,0,,,,,,京东支付,,-775,27,286215,,,,,
2018-03-01 12:27:11.294776,,100053455621,110339775100053455621,,7100053455621748720694725578752,1036151990723731287280,OS2018030112271720205,,jdpay.NATIVE,交易,,,105800,0,,,,,,京东支付,,-286,27,105514,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
3,592290,0,592290,-1600
