交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-03-01 18:44:05.522136,,100053452055,110339775100053452055,,7100053452055749100098396491776,1001151992987807713567,OS2018030118443752040,,jdpay.NATIVE,交易,,,299600,0,,,,,,京东支付,,-809,27,298791,,,,,
2018-03-01 17:34:58.695779,,100053452055,110339775100053452055,,7100053452055749030526703767552,1046151992570508149695,OS2018030117350504808,,jdpay.NATIVE,交易,,,299200,0,,,,,,京东支付,,-808,27,298392,,,,,
总交易单数,总交易额,总退款额,交易总净额,手续费总额
2,598800,0,598800,-1617
